10.62
E
1	0.05	0.08	0.63	0.17	0.31	-0.09	0.27	-0.34	0.26	0.00	0.35	0.27	0.20	0.23	0.05	0.00
2	0.28	0.28	0.29	0.24	0.21	0.25	0.12	0.02	0.25	-0.23	0.19	0.16	0.22	0.20	0.17	0.05
3	-0.12	0.13	0.04	0.06	0.12	0.18	0.10	0.27	-0.07	0.06	0.21	0.38	0.17	0.50	0.01	0.36
4	-0.02	0.14	0.43	0.08	-0.15	0.44	-0.64	0.04	0.25	0.05	0.03	0.03	0.16	0.04	0.36	0.22
5	0.31	0.05	0.27	-0.15	0.26	0.05	0.41	-0.09	0.03	0.10	0.04	0.00	0.05	0.15	0.18	0.14
6	0.41	0.21	0.01	0.28	-0.37	0.03	-0.17	0.14	0.08	0.07	0.21	0.19	-0.14	0.09	0.07	0.41
A
1	0.03	0.28	-0.11	-0.35	0.23	0.42	0.22	0.31	0.08	0.09	0.22	-0.01	-0.04	0.11	0.35	0.01
2	0.15	0.05	-0.41	0.04	0.27	0.17	0.09	0.09	0.44	0.18	0.09	-0.04	0.25	0.19	-0.02	0.12
3	0.41	-0.03	0.22	-0.06	0.28	0.12	-0.11	0.21	-0.11	0.04	-0.07	0.07	0.25	0.18	0.22	0.26
4	0.15	0.60	-0.11	-0.15	-0.08	0.24	0.49	-0.14	0.13	-0.15	-0.01	-0.07	0.45	-0.33	0.13	-0.04
5	0.38	0.21	0.14	0.34	-0.03	0.76	0.00	-0.23	0.11	0.03	0.44	0.06	0.17	-0.20	0.45	-0.19
6	0.14	0.03	0.29	0.16	-0.34	-0.38	0.17	-0.18	0.25	0.29	-0.02	0.17	0.03	0.07	0.59	0.24
D
1	-0.03	0.05	0.14	0.21	0.20	0.18	-0.06	0.11	0.02	0.02	0.01	0.17	-0.26	0.06	0.08	0.17
2	0.41	-0.04	0.13	0.06	0.02	0.14	0.20	0.10	0.33	0.04	0.46	-0.14	-0.03	0.10	0.36	0.09
3	-0.05	0.35	0.10	0.32	-0.09	0.09	0.24	0.21	0.43	0.18	0.19	0.17	0.28	0.15	0.32	-0.12
4	0.76	0.04	-0.08	0.17	-0.17	0.11	0.07	0.30	0.11	0.17	0.19	-0.05	0.20	0.40	-0.01	0.10
5	-0.01	-0.28	0.48	-0.04	0.24	0.45	-0.06	0.12	0.59	0.29	0.23	-0.14	0.05	-0.06	0.26	-0.09
6	-0.11	0.24	0.30	0.03	0.20	0.24	0.08	0.12	0.28	0.16	0.14	0.01	0.13	-0.11	0.43	-0.01
