28.52
E
1	-4.69	-5.06	-4.98	-5.16	-5.01	-1.48	-5.14	-1.19	-4.96	-5.15	-4.51	-5.18	-4.84	-4.05	-5.07	-5.04
2	-0.76	-0.89	-0.57	-0.72	-0.83	-0.87	-0.88	-1.00	-0.78	-1.04	-1.03	-0.92	-0.53	-1.00	-0.86	-0.84
3	-0.52	-0.31	-0.44	-0.55	-0.51	-0.61	-0.35	-0.62	-0.43	-0.63	-1.34	-0.63	-0.47	-0.54	-0.67	-0.50
4	-0.73	-0.84	-0.62	-0.84	-0.50	-0.85	-0.64	-0.65	-0.62	-0.87	-0.50	-0.67	-0.92	-0.61	-0.63	-0.69
5	-0.23	-0.22	-0.36	-2.35	-0.28	-0.39	-0.57	-0.34	-0.30	-0.64	-0.29	-0.23	-0.28	-0.26	-0.41	-0.40
6	-0.81	-0.71	-0.69	-2.41	-0.51	-1.09	-0.83	-1.02	-0.90	-0.85	-0.86	-0.91	-0.98	-0.80	-0.66	-1.29
A
1	-0.37	-0.59	-0.50	-0.16	-0.63	-0.43	-0.57	-0.62	-0.62	-0.53	-0.53	-0.48	-0.61	-0.48	-0.46	-0.49
2	-0.13	-0.40	0.02	-0.27	-0.48	-0.37	-0.45	-0.70	-0.54	-0.70	0.04	-0.30	-0.36	-0.34	-0.39	-0.37
3	-0.59	-0.14	-1.22	-0.65	-0.80	-1.22	-0.15	-0.70	-0.70	-0.64	-0.15	-0.58	-0.82	-0.64	-0.65	-0.76
4	-0.87	-0.78	-0.85	-0.87	-0.82	-0.70	-0.82	-1.04	-0.50	-0.97	-0.64	-2.35	-0.96	-0.55	-0.82	-0.84
5	-2.26	-1.70	-3.75	-2.38	-2.13	-2.47	-1.89	-1.56	-1.77	-2.30	-2.35	-2.14	-2.10	-1.80	-2.23	-1.87
6	-11.37	-11.58	-10.77	-10.28	-11.65	-11.12	-11.37	-10.73	-11.89	-14.68	-12.03	-12.01	-11.79	-9.96	-10.01	-10.60
D
1	-0.49	-0.71	-0.76	-0.69	-0.71	-0.62	-0.72	-0.74	-0.51	-0.65	-0.63	-0.77	-0.03	-0.62	-0.30	-0.70
2	-0.25	-0.26	-0.20	-0.13	-0.03	-0.10	-0.20	-0.19	-0.25	-0.19	-0.17	-0.11	-0.14	-0.23	-0.11	-0.10
3	0.10	-0.21	0.03	0.11	0.01	0.05	0.01	-0.01	0.25	-0.08	-0.03	0.01	0.11	0.02	0.13	0.02
4	-0.27	0.00	-0.07	0.02	-0.04	0.06	0.04	-0.09	-0.16	-0.07	-0.11	-0.01	-0.06	-0.04	0.09	-0.02
5	-0.11	-0.26	-0.30	-0.36	-0.08	-0.31	-0.13	-0.16	-0.18	-0.20	-0.23	0.09	-0.20	-0.34	-0.16	-0.03
6	-0.04	-0.35	-0.13	-0.04	-0.28	-0.25	-0.12	-0.13	-0.18	-0.18	-0.05	-0.14	-0.16	-0.14	-0.27	-0.15
