15.44
E
1	0.02	0.02	0.03	0.02	0.00	0.00	0.02	0.02
2	-0.01	-0.02	0.00	0.03	-0.03	-0.04	0.03	-0.06
3	-0.01	-0.02	0.00	0.01	-0.02	-0.01	-0.01	-0.07
4	-0.09	-0.01	0.03	-0.06	-0.01	-0.10	0.00	0.01
5	-0.01	-0.17	0.01	0.02	-0.07	0.01	-0.01	-0.01
6	0.02	0.05	0.03	-0.09	-0.12	-0.07	-0.04	-0.04
A
1	0.01	0.07	-0.05	-0.13	-0.03	0.03	0.00	-0.05
2	0.03	-0.03	-0.10	0.04	-0.13	-0.07	-0.05	-0.06
3	-0.07	-0.04	0.00	-0.02	-0.11	0.01	-0.08	-0.06
4	-0.08	0.04	-0.01	-0.02	0.00	-0.03	0.02	0.05
5	0.04	0.02	-0.12	-0.02	0.02	0.00	-0.01	0.10
6	0.02	0.05	0.04	0.00	0.03	0.06	0.09	0.06
D
1	0.04	-0.04	0.01	-0.01	0.02	-0.03	-0.03	0.04
2	0.02	-0.03	0.01	-0.05	-0.04	-0.01	0.07	0.01
3	-0.04	0.11	-0.08	0.06	0.04	0.01	-0.02	-0.05
4	0.06	0.02	-0.02	0.03	0.00	0.02	-0.02	-0.04
5	-0.04	-0.01	-0.04	-0.02	0.04	-0.03	-0.02	0.04
6	-0.01	-0.03	0.02	0.01	-0.01	-0.03	-0.03	0.01
